ID,Warehouse Name,Company
AMS0001,CENTRE PRISON 1 PUZHAL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0002,SUBJAI PONNERI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0003,SAIDAPET SUBJAIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0004,CENTRE PRISON 2 PUZHAL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0005,SPL SUBJAIL POONAMALLE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0006,SPW PUZHAL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0007,SUBJAIL KANCHIPURAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0008,SUB JAIL MADHURANDHAGAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0009,SUB JAIL THIRUTHANI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0010,SUBJAIL THIRUVALLUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0011,SUBJAIL VANDHAVASI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0012,DISTRICT JAIL CHENGALPAT,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0013,CENTRE PRISON VELLORE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0014,SPW VELLORE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0015,SUBJAIL TIRUPATHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0016,SUBJAIL POLUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0017,SUBJAIL ARAKKONAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0018,SUBJAIL CHENGAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0019,SUBJAIL AMBUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0020,SUBJAIL WALAJAPET,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0021,SUBJAIL GUDIYATHIAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0022,CENTRE PRISON TRICHY,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0023,SUB JAIL ARIYALUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0024,SUBJAIL JEYAMKONDAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0025,SUBJAIL KARUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0026,SUBJAIL KULITHALAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0027,SUBJAIL LALKUDI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0028,SUBJAIL MANAPARAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0029,SUBJAIL MUSURI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0030,SUBJAIL PERAMBALUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0031,SUBJAIL THURAIYUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0032,SPW TRICHY,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0033,CENTRE PRISON SALEM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0034,FARM JAIL SALEM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0035,SPL SUBJAIL SALEM FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0036,SUB JAIL KRISHNAGIRI FEMLAE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0037,SUB JAIL DHARMAPURI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0038,SUBJAIL HOSUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0039,SUB JAIL OMALUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0040,SUBJAIL UTHANKARI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0041,DISTRCT JAIL ATHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0042,SUBJAIL THIRUCHENGODE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0043,SUBJAIL HARUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0044,SUBJAIL NAMAKKAL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0045,BROSTON SCHOOL PARAMATHI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0046,SUBJAIL RASIPURAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0047,SUBJAIL BHAVANI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0048,SUBJAIL SATHYAMANGALAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0049,SUBJAIL ERODE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0050,DISTRICT JAIL GOBICHETTIPALAYAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0051,BORSTAN SCHOOL SANKAGIRI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0052,SUBJAIL PERUNDURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0053,OPEN AIR JAIL SINGANALLUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0054,SPW COIMBATORE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0055,SUBJAIL COONOOR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0056,SUBJAIL GUDALUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0057,CENTRAL PRISON COIMBATORE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0058,SUBJAIL OOTY,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0059,SUBJAIL PALLADAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0060,BORSTAN SCHOOL POLLACHI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0061,SUBJAIL DHARAPURAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0062,SUBJAIL TIRUPUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0063,SUBJAIL UDUMALAPET,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0064,SUBJAIL AVINASI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0065,CENTRE PRISON CUDDALORE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0066,SUBJAIL CUDDALORE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0067,SUBJAIL CUDDALORE FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0068,SUBJAIL CHIDAMBARAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0069,BORSTON SCHOOL GINGEE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0070,SUBJAIL KALLAKURICHI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0071,BORSTON SCHOOL PANRUTI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0072,SUBJAIL PARANGIPET,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0073,SUBJAIL THIRUKOVILUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0074,SUBJAIL TIRUVANNAMALAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0075,SUBJAIL ULUNDERPET,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0076,SUBJAIL VILLUPURAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0077,SUBJAIL TINDIVANAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0078,SUBJAIL VIRUDHACHALM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0079,DISTRICT JAIL DINDUGAL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0080,BORSTAN SCHOOL MELUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0081,SUBJAIL NILAKOTTAI FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0082,SUBJAIL PAZHANI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0083,SUBJAIL THIRUMANGALAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0084,SUBJAIL USILAMPATTI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0085,SUBJAIL UTHAMAPALAYAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0086,SUBJAIL VEDASANDHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0087,SUBJAL PERIYAKULAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0088,MADURAI CENTRAL JAIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0089,SUBJAIL MUDUKULATHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0090,SUBJAIL PARAMAKUDI FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0091,SUBJAIL THIRUPATHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0092,SUBJAIL SIVGANGAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0093,SUBJAIL SRIVALLIPUTHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0094,DISTRICT JAIL VIRUDHUNAGAR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0095,DISTRICT JAIL RAMANATHAPURAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0096,SUBJAIL ARUPPUKOTTAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0097,SPW MADURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0098,OPEN AIR PRISON PURASADAIUDAIPU,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0099,CENTRE PRISON  PALAYANKOTTAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0100,FEMALE SUBJAIL  KOKKIRAKULAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0101,SUBJAIL AMBASAMUDRAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0102,SUBJAIL KOVILPATTI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0103,SUBJAIL KUZHITHURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0104,DISTRICT JAIL NAGARKOIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0105,SUBJAIL SANKARANKOIL,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0106,SUBJAIL SRIVAIGUNDAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0107,SUBJAIL THACKALAI FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0108,SUBJAIL TENKASI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0109,DISTRICT JAIL TUTICORIN,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0110,BORSTON SCHOOL NANGUNERI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0111,BROSTON SCHOOL PUDUKOTTAI &DISTRICT JAIL PUDUKOTTAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0112,SUBJAIL ARANDHANGI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0113,SUBJAIL KUMBAKONAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0114,SUBJAIL MANNARKUDI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0115,SUBJAIL MAYILADUTHURAI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0116,SUBJAIL NAGAPATTINAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0117,SUBJAIL NANINILAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0118,SUBJAIL PAPANASAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0119,SUBJAIL SIRKAZHI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0120,"SUBJAIL THANJAVUR
",VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0121,SUBJAIL THARANGAMPADI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0122,SUBJAIL THIRUMAYAM,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0123,SUBJAIL THIRUTHURAIPOONDI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0124,SUBJAIL THIRUVARUR FEMALE,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0125,SUBJAIL THIRUVADAIMARUTHUR,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
AMS0126,SUBJAIL VANIYAMPADI,VIVID TRANS TECH SOLUTIONS PRIVATE LIMITED
